SERIAL_NUMBER,MODEL_NAME,CARTON_NO,PALLET_NO,VENDOR_SN,ASY_B,HW,FW,DESCRIPTION,SKU,INNER_CARTON_NO,PO_NUMBER,BUNDLE,DN,H_H_PARTNUMBER
BHRC1717LH007242-C,DOORBELL_V3,79476,ASSY0175B016,9884E3288D75,4/29/17 3:51,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020076,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007244-C,DOORBELL_V3,79471,ASSY0175B016,9884E3CFB8EA,4/29/17 3:54,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020060,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007250-C,DOORBELL_V3,79447,ASSY0175B018,9884E32F10C5,4/29/17 3:52,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290412,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007254-C,DOORBELL_V3,79471,ASSY0175B016,9884E3D93CD7,4/29/17 3:50,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020060,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007255-C,DOORBELL_V3,79470,ASSY0175B016,9884E3D93B8F,4/29/17 3:52,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020052,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007258-C,DOORBELL_V3,79456,ASSY0175B016,9884E32868A5,4/29/17 4:11,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290460,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007265-C,DOORBELL_V3,79470,ASSY0175B016,9884E3E243D9,4/29/17 3:47,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020052,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007266-C,DOORBELL_V3,79470,ASSY0175B016,9884E3D93CF7,4/29/17 3:47,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020052,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007267-C,DOORBELL_V3,79447,ASSY0175B018,9884E32801E7,4/29/17 3:47,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201704290412,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007269-C,DOORBELL_V3,79471,ASSY0175B016,9884E3E24DFC,4/29/17 3:48,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020060,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007272-C,DOORBELL_V3,79478,ASSY0175B016,9884E3267240,4/29/17 3:51,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020085,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007274-C,DOORBELL_V3,79557,ASSY0175B017,9884E32864FB,4/29/17 3:48,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020358,100255, ,2170903146,3A0149100-600-GA01
BHRC1717LH007277-C,DOORBELL_V3,79462,ASSY0175B016,9884E327F612,4/29/17 3:47,36,1.6.297,Satin Nickel,8VR1S5-SEN0,CPTHASSY07201705020020,100255, ,2170903146,3A0149100-600-GA01
